agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
6490066,0.2335000,1478,15160259,15160259,1677283200139,false
6490067,0.2336000,826,15160260,15160261,1677283204050,false
6490068,0.2335000,445,15160262,15160262,1677283204120,true
6490069,0.2336000,6476,15160263,15160272,1677283204124,false
6490070,0.2337000,3023,15160273,15160274,1677283204206,false
6490071,0.2335000,2640,15160275,15160277,1677283206073,true
6490072,0.2335000,1070,15160278,15160278,1677283206711,true
6490073,0.2336000,1594,15160279,15160279,1677283207239,false
6490074,0.2337000,5210,15160280,15160282,1677283207239,false
6490075,0.2337000,507,15160283,15160283,1677283207383,false
6490076,0.2336000,469,15160284,15160284,1677283207407,true
6490077,0.2337000,231,15160285,15160285,1677283207488,false
6490078,0.2338000,4736,15160286,15160288,1677283207488,false
6490079,0.2338000,2116,15160289,15160290,1677283207621,false
6490080,0.2339000,2730,15160291,15160294,1677283207621,false
6490081,0.2338000,1278,15160295,15160295,1677283207872,false
6490082,0.2339000,849,15160296,15160297,1677283207872,false
6490083,0.2339000,1923,15160298,15160298,1677283207981,false
6490084,0.2340000,11361,15160299,15160304,1677283208324,false
6490085,0.2341000,15268,15160305,15160309,1677283208324,false
6490086,0.2342000,7732,15160310,15160315,1677283208324,false
6490087,0.2343000,7073,15160316,15160319,1677283208324,false
6490088,0.2344000,12682,15160320,15160325,1677283208324,false
6490089,0.2341000,444,15160326,15160326,1677283208421,false
6490090,0.2344000,1611,15160327,15160328,1677283208421,false
6490091,0.2344000,2670,15160329,15160329,1677283208569,false
6490092,0.2345000,7756,15160330,15160331,1677283208569,false
6490093,0.2339000,2715,15160332,15160333,1677283208692,false
6490094,0.2344000,3064,15160334,15160334,1677283208692,false
6490095,0.2342000,1453,15160335,15160335,1677283209636,false
6490096,0.2343000,16730,15160336,15160340,1677283209636,false
6490097,0.2344000,7500,15160341,15160344,1677283209658,false
6490098,0.2345000,7420,15160345,15160346,1677283209678,false
6490099,0.2344000,660,15160347,15160347,1677283209812,true
6490100,0.2345000,3821,15160348,15160348,1677283210288,false
6490101,0.2344000,3188,15160349,15160349,1677283210328,true
6490102,0.2345000,813,15160350,15160350,1677283210362,false
6490103,0.2345000,1514,15160351,15160351,1677283210524,false
6490104,0.2345000,12204,15160352,15160353,1677283210840,false
6490105,0.2345000,3047,15160354,15160354,1677283211004,false
6490106,0.2345000,1423,15160355,15160355,1677283211155,false
6490107,0.2345000,4417,15160356,15160358,1677283211443,false
6490108,0.2344000,501,15160359,15160360,1677283211564,true
6490109,0.2345000,1560,15160361,15160364,1677283211574,false
6490110,0.2345000,170,15160365,15160365,1677283211741,false
6490111,0.2346000,643,15160366,15160367,1677283211741,false
6490112,0.2345000,298,15160368,15160368,1677283212077,true
6490113,0.2346000,6491,15160369,15160374,1677283212579,false
6490114,0.2347000,1361,15160375,15160377,1677283212703,false
6490115,0.2347000,1625,15160378,15160380,1677283212870,false
6490116,0.2347000,779,15160381,15160381,1677283213007,false
6490117,0.2348000,3481,15160382,15160386,1677283213007,false
6490118,0.2347000,429,15160387,15160387,1677283213339,true
6490119,0.2348000,5951,15160388,15160389,1677283213646,false
6490120,0.2348000,2518,15160390,15160390,1677283213953,false
6490121,0.2349000,6296,15160391,15160397,1677283213953,false
6490122,0.2350000,9486,15160398,15160409,1677283213954,false
6490123,0.2349000,52,15160410,15160410,1677283213967,true
6490124,0.2350000,339,15160411,15160413,1677283213995,true
6490125,0.2350000,366,15160414,15160414,1677283214193,true
6490126,0.2350000,2000,15160415,15160416,1677283214433,true
6490127,0.2351000,1724,15160417,15160419,1677283214724,false
6490128,0.2352000,6444,15160420,15160428,1677283214724,false
6490129,0.2353000,4670,15160429,15160434,1677283214724,false
6490130,0.2352000,9335,15160435,15160442,1677283214755,true
6490131,0.2351000,5859,15160443,15160446,1677283214827,true
6490132,0.2352000,950,15160447,15160447,1677283214860,true
6490133,0.2353000,3073,15160448,15160449,1677283215097,false
6490134,0.2354000,4187,15160450,15160454,1677283215097,false
6490135,0.2355000,3378,15160455,15160458,1677283215097,false
6490136,0.2354000,1427,15160459,15160460,1677283215115,true
6490137,0.2354000,297,15160461,15160462,1677283215342,true
6490138,0.2355000,1592,15160463,15160464,1677283215680,false
6490139,0.2356000,7240,15160465,15160472,1677283215680,false
6490140,0.2357000,7934,15160473,15160477,1677283215762,false
6490141,0.2357000,5600,15160478,15160481,1677283216126,false
6490142,0.2358000,5059,15160482,15160486,1677283216126,false
