agg_trade_id,price,quantity,first_trade_id,last_trade_id,transact_time,is_buyer_maker
7184421,0.1727000,165,16931901,16931901,1678320003733,false
7184422,0.1726000,3252,16931902,16931904,1678320003886,true
7184423,0.1726000,513,16931905,16931905,1678320003950,false
7184424,0.1727000,3187,16931906,16931911,1678320003950,false
7184425,0.1727000,87,16931912,16931912,1678320004298,false
7184426,0.1727000,121,16931913,16931913,1678320006742,false
7184427,0.1726000,717,16931914,16931914,1678320006879,true
7184428,0.1726000,361,16931915,16931915,1678320007001,true
7184429,0.1727000,2858,16931916,16931921,1678320007189,false
7184430,0.1726000,704,16931922,16931922,1678320007981,true
7184431,0.1726000,58,16931923,16931923,1678320008279,true
7184432,0.1727000,113,16931924,16931924,1678320008669,false
7184433,0.1727000,1081,16931925,16931925,1678320008777,false
7184434,0.1727000,2400,16931926,16931926,1678320009733,false
7184435,0.1727000,2580,16931927,16931927,1678320012655,false
7184436,0.1727000,102,16931928,16931928,1678320013361,false
7184437,0.1727000,5322,16931929,16931935,1678320015849,false
7184438,0.1728000,3239,16931936,16931941,1678320015958,false
7184439,0.1729000,8936,16931942,16931949,1678320016675,false
7184440,0.1730000,2382,16931950,16931953,1678320017678,false
7184441,0.1731000,1421,16931954,16931954,1678320017678,false
7184442,0.1731000,251,16931955,16931955,1678320017982,false
7184443,0.1731000,83,16931956,16931956,1678320018607,false
7184444,0.1730000,275,16931957,16931957,1678320018805,true
7184445,0.1731000,10472,16931958,16931968,1678320018855,false
7184446,0.1732000,832,16931969,16931971,1678320019648,false
7184447,0.1732000,113,16931972,16931972,1678320019908,false
7184448,0.1732000,2441,16931973,16931974,1678320021063,false
7184449,0.1731000,9229,16931975,16931979,1678320021106,true
7184450,0.1733000,664,16931980,16931981,1678320022675,false
7184451,0.1733000,9029,16931982,16931988,1678320022897,false
7184452,0.1734000,2342,16931989,16931993,1678320023631,false
7184453,0.1734000,988,16931994,16931995,1678320023763,false
7184454,0.1735000,2027,16931996,16931999,1678320023763,false
7184455,0.1734000,8597,16932000,16932004,1678320023807,true
7184456,0.1733000,290,16932005,16932005,1678320023898,true
7184457,0.1734000,6339,16932006,16932012,1678320026843,false
7184458,0.1735000,113,16932013,16932013,1678320027107,false
7184459,0.1735000,879,16932014,16932014,1678320027611,false
7184460,0.1735000,284,16932015,16932015,1678320027726,false
7184461,0.1735000,1416,16932016,16932017,1678320028338,false
7184462,0.1735000,6454,16932018,16932021,1678320028715,false
7184463,0.1736000,6844,16932022,16932024,1678320028930,false
7184464,0.1737000,9083,16932025,16932031,1678320028936,false
7184465,0.1738000,3441,16932032,16932038,1678320028948,false
7184466,0.1737000,2890,16932039,16932042,1678320028960,true
7184467,0.1736000,5959,16932043,16932046,1678320029403,true
7184468,0.1735000,14617,16932047,16932051,1678320029480,true
7184469,0.1734000,2732,16932052,16932053,1678320029551,true
7184470,0.1735000,1953,16932054,16932055,1678320030113,false
7184471,0.1734000,4561,16932056,16932058,1678320030189,true
7184472,0.1734000,7977,16932059,16932064,1678320031638,false
7184473,0.1735000,6680,16932065,16932069,1678320031638,false
7184474,0.1736000,3159,16932070,16932072,1678320031676,false
7184475,0.1735000,336,16932073,16932073,1678320031684,true
7184476,0.1734000,1030,16932074,16932074,1678320033667,true
7184477,0.1735000,2181,16932075,16932077,1678320033702,false
7184478,0.1736000,921,16932078,16932078,1678320033702,false
7184479,0.1735000,1014,16932079,16932080,1678320033712,true
7184480,0.1735000,501,16932081,16932081,1678320033871,true
7184481,0.1735000,787,16932082,16932082,1678320034677,false
7184482,0.1735000,513,16932083,16932083,1678320035305,false
7184483,0.1736000,705,16932084,16932084,1678320035305,false
7184484,0.1735000,2717,16932085,16932087,1678320035319,true
7184485,0.1735000,2785,16932088,16932090,1678320035568,false
7184486,0.1735000,5310,16932091,16932092,1678320038376,true
7184487,0.1736000,1116,16932093,16932093,1678320038601,false
7184488,0.1736000,113,16932094,16932094,1678320039860,false
7184489,0.1735000,7431,16932095,16932097,1678320039887,true
7184490,0.1736000,15254,16932098,16932106,1678320040519,false
7184491,0.1737000,4466,16932107,16932108,1678320040519,false
7184492,0.1736000,557,16932109,16932110,1678320041066,true
7184493,0.1736000,2964,16932111,16932112,1678320041795,false
7184494,0.1736000,289,16932113,16932113,1678320041843,true
7184495,0.1737000,83,16932114,16932114,1678320043006,false
7184496,0.1737000,1614,16932115,16932117,1678320045135,false
7184497,0.1737000,1507,16932118,16932119,1678320050977,false
7184498,0.1737000,83,16932120,16932120,1678320054183,false
7184499,0.1737000,2723,16932121,16932123,1678320059281,false
7184500,0.1738000,1599,16932124,16932125,1678320060110,false
7184501,0.1738000,86,16932126,16932126,1678320060289,false
7184502,0.1738000,287,16932127,16932129,1678320060307,true
7184503,0.1738000,98,16932130,16932130,1678320060583,true
7184504,0.1738000,1801,16932131,16932133,1678320061225,false
7184505,0.1739000,5576,16932134,16932141,1678320061225,false
7184506,0.1739000,83,16932142,16932142,1678320061348,false
7184507,0.1739000,867,16932143,16932145,1678320062564,false
7184508,0.1739000,513,16932146,16932146,1678320062581,true
7184509,0.1738000,323,16932147,16932148,1678320063379,true
7184510,0.1739000,14642,16932149,16932159,1678320063940,false
7184511,0.1739000,692,16932160,16932161,1678320063970,true
7184512,0.1740000,2634,16932162,16932167,1678320064525,false
7184513,0.1741000,2010,16932168,16932173,1678320064525,false
7184514,0.1740000,686,16932174,16932176,1678320064525,true
7184515,0.1740000,1407,16932177,16932179,1678320064735,true
7184516,0.1740000,6280,16932180,16932184,1678320066018,true
7184517,0.1739000,43417,16932185,16932210,1678320066097,true
7184518,0.1740000,4133,16932211,16932213,1678320066197,false
7184519,0.1740000,2950,16932214,16932215,1678320066619,false
7184520,0.1740000,1408,16932216,16932218,1678320067588,false
7184521,0.1740000,4546,16932219,16932222,1678320067883,false
7184522,0.1740000,960,16932223,16932223,1678320068593,false
7184523,0.1740000,1691,16932224,16932226,1678320069531,false
7184524,0.1741000,1423,16932227,16932228,1678320069611,false
7184525,0.1742000,116,16932229,16932232,1678320069611,false
7184526,0.1741000,127,16932233,16932233,1678320069626,true
7184527,0.1740000,12925,16932234,16932241,1678320070050,true
7184528,0.1740000,544,16932242,16932243,1678320070366,false
7184529,0.1740000,5067,16932244,16932247,1678320072184,false
7184530,0.1741000,1533,16932248,16932249,1678320072605,false
7184531,0.1742000,437,16932250,16932250,1678320072605,false
7184532,0.1741000,83,16932251,16932251,1678320073523,false
7184533,0.1740000,693,16932252,16932252,1678320074020,true
7184534,0.1740000,10145,16932253,16932258,1678320074207,true
7184535,0.1739000,3563,16932259,16932259,1678320074607,true
7184536,0.1739000,13254,16932260,16932264,1678320074749,true
7184537,0.1739000,6027,16932265,16932267,1678320074872,true
7184538,0.1739000,11801,16932268,16932271,1678320074989,true
7184539,0.1739000,2563,16932272,16932274,1678320075227,true
7184540,0.1739000,4705,16932275,16932277,1678320075333,true
7184541,0.1739000,47957,16932278,16932282,1678320075655,true
7184542,0.1740000,976,16932283,16932283,1678320075679,false
7184543,0.1739000,513,16932284,16932284,1678320075730,true
7184544,0.1740000,3675,16932285,16932285,1678320075738,false
7184545,0.1739000,430,16932286,16932286,1678320075828,false
7184546,0.1739000,4231,16932287,16932287,1678320075987,true
7184547,0.1739000,1174,16932288,16932288,1678320076053,false
7184548,0.1739000,3421,16932289,16932293,1678320076201,true
7184549,0.1738000,2174,16932294,16932296,1678320076224,true
7184550,0.1737000,451,16932297,16932297,1678320076232,true
7184551,0.1738000,1079,16932298,16932298,1678320076316,true
7184552,0.1737000,4583,16932299,16932302,1678320076316,true
7184553,0.1736000,624,16932303,16932304,1678320076341,true
7184554,0.1735000,2361,16932305,16932307,1678320076341,true
7184555,0.1736000,1166,16932308,16932312,1678320076625,true
7184556,0.1737000,1025,16932313,16932314,1678320076951,false
7184557,0.1737000,1025,16932315,16932315,1678320077204,false
7184558,0.1737000,594,16932316,16932317,1678320077479,false
7184559,0.1738000,4842,16932318,16932321,1678320078812,false
7184560,0.1738000,5995,16932322,16932324,1678320080078,false
7184561,0.1739000,17353,16932325,16932336,1678320080143,false
7184562,0.1739000,159,16932337,16932338,1678320080262,true
7184563,0.1739000,433,16932339,16932341,1678320080475,true
7184564,0.1740000,10920,16932342,16932350,1678320080897,false
7184565,0.1740000,306,16932351,16932352,1678320080995,true
7184566,0.1741000,1533,16932353,16932354,1678320083863,false
7184567,0.1741000,7196,16932355,16932361,1678320083970,false
7184568,0.1741000,2534,16932362,16932362,1678320084733,false
7184569,0.1741000,4632,16932363,16932367,1678320086610,false
7184570,0.1741000,2219,16932368,16932378,1678320086738,true
7184571,0.1740000,3054,16932379,16932386,1678320086811,true
7184572,0.1741000,6920,16932387,16932390,1678320086892,false
7184573,0.1741000,944,16932391,16932393,1678320087103,true
7184574,0.1741000,1268,16932394,16932396,1678320087610,true
7184575,0.1740000,543,16932397,16932398,1678320089915,true
7184576,0.1741000,1633,16932399,16932400,1678320090833,false
7184577,0.1741000,70,16932401,16932401,1678320092303,false
7184578,0.1741000,5895,16932402,16932407,1678320097995,false
7184579,0.1742000,2277,16932408,16932411,1678320097995,false
7184580,0.1741000,306,16932412,16932412,1678320098031,true
7184581,0.1740000,276,16932413,16932413,1678320098037,true
7184582,0.1741000,214,16932414,16932415,1678320098222,true
7184583,0.1742000,3462,16932416,16932417,1678320099046,false
7184584,0.1742000,752,16932418,16932418,1678320099654,false
7184585,0.1741000,4003,16932419,16932420,1678320100679,true
7184586,0.1742000,1253,16932421,16932422,1678320100697,false
7184587,0.1741000,4861,16932423,16932423,1678320101029,true
7184588,0.1741000,4407,16932424,16932428,1678320103620,false
7184589,0.1740000,5640,16932429,16932433,1678320111487,true
7184590,0.1739000,4139,16932434,16932435,1678320111487,true
7184591,0.1739000,3364,16932436,16932437,1678320118296,true
7184592,0.1738000,5915,16932438,16932443,1678320118296,true
7184593,0.1737000,5729,16932444,16932446,1678320118314,true
7184594,0.1738000,513,16932447,16932447,1678320118457,false
7184595,0.1738000,4082,16932448,16932450,1678320118797,true
7184596,0.1739000,4917,16932451,16932454,1678320120183,false
7184597,0.1740000,4135,16932455,16932457,1678320120612,false
7184598,0.1739000,32,16932458,16932458,1678320120656,true
7184599,0.1740000,157,16932459,16932460,1678320122352,true
7184600,0.1739000,630,16932461,16932462,1678320122651,true
7184601,0.1739000,699,16932463,16932463,1678320122771,true
7184602,0.1739000,968,16932464,16932465,1678320123964,true
7184603,0.1739000,3256,16932466,16932468,1678320124519,true
7184604,0.1740000,1562,16932469,16932470,1678320125802,false
7184605,0.1739000,1023,16932471,16932471,1678320125816,true
7184606,0.1738000,537,16932472,16932472,1678320125816,true
7184607,0.1739000,790,16932473,16932474,1678320127608,false
7184608,0.1740000,936,16932475,16932476,1678320127608,false
7184609,0.1740000,1321,16932477,16932477,1678320128184,false
7184610,0.1740000,3908,16932478,16932481,1678320128474,false
7184611,0.1740000,1818,16932482,16932484,1678320130686,false
7184612,0.1740000,1530,16932485,16932485,1678320131488,false
7184613,0.1740000,10484,16932486,16932491,1678320134628,false
7184614,0.1740000,1604,16932492,16932494,1678320134789,true
7184615,0.1740000,457,16932495,16932495,1678320135853,true
7184616,0.1740000,5165,16932496,16932500,1678320141680,false
7184617,0.1741000,11106,16932501,16932507,1678320144795,false
7184618,0.1742000,3206,16932508,16932510,1678320145995,false
7184619,0.1742000,39,16932511,16932511,1678320147568,true
7184620,0.1743000,3063,16932512,16932518,1678320147659,false
7184621,0.1743000,167,16932519,16932519,1678320148407,true
7184622,0.1743000,144,16932520,16932520,1678320148519,true
7184623,0.1743000,246,16932521,16932521,1678320149069,false
7184624,0.1743000,288,16932522,16932522,1678320149128,true
7184625,0.1743000,712,16932523,16932524,1678320149631,true
7184626,0.1743000,4511,16932525,16932527,1678320150109,true
7184627,0.1743000,513,16932528,16932528,1678320150290,false
7184628,0.1743000,711,16932529,16932530,1678320150569,true
7184629,0.1743000,4831,16932531,16932533,1678320151106,true
7184630,0.1744000,2963,16932534,16932539,1678320151596,false
7184631,0.1744000,1408,16932540,16932544,1678320152682,false
7184632,0.1744000,755,16932545,16932545,1678320152999,false
7184633,0.1745000,7660,16932546,16932549,1678320153148,false
7184634,0.1745000,2523,16932550,16932551,1678320154785,false
7184635,0.1745000,448,16932552,16932560,1678320154876,true
7184636,0.1745000,334,16932561,16932562,1678320155029,true
7184637,0.1745000,673,16932563,16932564,1678320156807,true
7184638,0.1745000,3437,16932565,16932566,1678320159613,true
7184639,0.1746000,1812,16932567,16932571,1678320160614,false
7184640,0.1746000,3202,16932572,16932573,1678320161851,false
7184641,0.1746000,2654,16932574,16932575,1678320162451,false
7184642,0.1746000,368,16932576,16932577,1678320162500,true
7184643,0.1747000,813,16932578,16932579,1678320162621,false
7184644,0.1747000,5696,16932580,16932585,1678320163378,false
7184645,0.1747000,448,16932586,16932586,1678320163520,true
7184646,0.1748000,21801,16932587,16932601,1678320163521,false
7184647,0.1747000,75,16932602,16932602,1678320163581,true
7184648,0.1749000,18632,16932603,16932611,1678320163714,false
7184649,0.1750000,1858,16932612,16932617,1678320164583,false
7184650,0.1750000,2454,16932618,16932619,1678320169967,false
7184651,0.1750000,2106,16932620,16932622,1678320171097,false
